[INTERNAL_LOG][2018-06-12 01:25:27,980][INFO][analyze_start()] Init Time [Tue Jun 12 01:25:27 2018]
[INTERNAL_LOG][2018-06-12 01:25:28,022][INFO][run()] Start Analysis
[INTERNAL_LOG][2018-06-12 01:25:28,022][INFO][is_hybird()] [Permission Enble Start]
[INTERNAL_LOG][2018-06-12 01:25:28,023][INFO][is_hybird()] android.permission.WRITE_SETTINGS
[INTERNAL_LOG][2018-06-12 01:25:28,023][INFO][is_hybird()] android.permission.WRITE_EXTERNAL_STORAGE
[INTERNAL_LOG][2018-06-12 01:25:28,023][INFO][is_hybird()] android.permission.WAKE_LOCK
[INTERNAL_LOG][2018-06-12 01:25:28,023][INFO][is_hybird()] android.permission.READ_PHONE_STATE
[INTERNAL_LOG][2018-06-12 01:25:28,023][INFO][is_hybird()] android.permission.INTERNET
[INTERNAL_LOG][2018-06-12 01:25:28,023][INFO][is_hybird()] android.permission.ACCESS_NETWORK_STATE
[INTERNAL_LOG][2018-06-12 01:25:28,023][INFO][is_hybird()] android.permission.DISABLE_KEYGUARD
[INTERNAL_LOG][2018-06-12 01:25:28,023][INFO][is_hybird()] android.permission.MODIFY_AUDIO_SETTINGS
[INTERNAL_LOG][2018-06-12 01:25:28,023][INFO][is_hybird()] android.permission.BROADCAST_STICKY
[INTERNAL_LOG][2018-06-12 01:25:28,023][INFO][is_hybird()] android.permission.BLUETOOTH
[INTERNAL_LOG][2018-06-12 01:25:28,023][INFO][is_hybird()] [Permission End]

[INTERNAL_LOG][2018-06-12 01:25:28,023][INFO][analyze_start()] TYPE APK: [ANDROID NATIVE]

[INTERNAL_LOG][2018-06-12 01:25:28,023][INFO][find_string()] [START FILE ANALYZE]
[INTERNAL_LOG][2018-06-12 01:25:28,023][INFO][find_string()] [END ANALYZE FILE]

[INTERNAL_LOG][2018-06-12 01:25:28,023][INFO][find_string()] [START FILE ANALYZE]
[INTERNAL_LOG][2018-06-12 01:25:28,023][INFO][find_string()] [END ANALYZE FILE]

[INTERNAL_LOG][2018-06-12 01:25:31,086][ERROR][run()] Error decompiler Invalid Instruction for 0x15ff:bytearray(b'\xff\x15\x00\x00\x0f\x00') 

[INTERNAL_LOG][2018-06-12 01:25:31,587][ERROR][analyze_start()] Some error during decompilation.
