[INTERNAL_LOG][2018-06-12 06:19:01,776][INFO][analyze_start()] Init Time [Tue Jun 12 06:19:01 2018]
[INTERNAL_LOG][2018-06-12 06:19:02,019][INFO][is_hybird()] [Permission Enble Start]
[INTERNAL_LOG][2018-06-12 06:19:02,019][INFO][run()] Start Analysis
[INTERNAL_LOG][2018-06-12 06:19:02,019][INFO][is_hybird()] android.permission.CHANGE_WIFI_MULTICAST_STATE
[INTERNAL_LOG][2018-06-12 06:19:02,019][INFO][is_hybird()] com.tencent.mm.plugin.permission.READ
[INTERNAL_LOG][2018-06-12 06:19:02,019][INFO][is_hybird()] com.tencent.mm.plugin.permission.WRITE
[INTERNAL_LOG][2018-06-12 06:19:02,019][INFO][is_hybird()] com.tencent.mm.permission.MM_MESSAGE
[INTERNAL_LOG][2018-06-12 06:19:02,019][INFO][is_hybird()] com.huawei.authentication.HW_ACCESS_AUTH_SERVICE
[INTERNAL_LOG][2018-06-12 06:19:02,020][INFO][is_hybird()] android.permission.ACCESS_NETWORK_STATE
[INTERNAL_LOG][2018-06-12 06:19:02,020][INFO][is_hybird()] android.permission.ACCESS_COARSE_LOCATION
[INTERNAL_LOG][2018-06-12 06:19:02,020][INFO][is_hybird()] android.permission.ACCESS_FINE_LOCATION
[INTERNAL_LOG][2018-06-12 06:19:02,020][INFO][is_hybird()] android.permission.CAMERA
[INTERNAL_LOG][2018-06-12 06:19:02,020][INFO][is_hybird()] android.permission.GET_TASKS
[INTERNAL_LOG][2018-06-12 06:19:02,020][INFO][is_hybird()] android.permission.INTERNET
[INTERNAL_LOG][2018-06-12 06:19:02,020][INFO][is_hybird()] android.permission.MODIFY_AUDIO_SETTINGS
[INTERNAL_LOG][2018-06-12 06:19:02,020][INFO][is_hybird()] android.permission.RECEIVE_BOOT_COMPLETED
[INTERNAL_LOG][2018-06-12 06:19:02,020][INFO][is_hybird()] android.permission.RECORD_AUDIO
[INTERNAL_LOG][2018-06-12 06:19:02,020][INFO][is_hybird()] android.permission.READ_CONTACTS
[INTERNAL_LOG][2018-06-12 06:19:02,020][INFO][is_hybird()] android.permission.READ_SMS
[INTERNAL_LOG][2018-06-12 06:19:02,020][INFO][is_hybird()] android.permission.VIBRATE
[INTERNAL_LOG][2018-06-12 06:19:02,020][INFO][is_hybird()] android.permission.WAKE_LOCK
[INTERNAL_LOG][2018-06-12 06:19:02,020][INFO][is_hybird()] android.permission.WRITE_EXTERNAL_STORAGE
[INTERNAL_LOG][2018-06-12 06:19:02,020][INFO][is_hybird()] android.permission.WRITE_CONTACTS
[INTERNAL_LOG][2018-06-12 06:19:02,020][INFO][is_hybird()] android.permission.WRITE_SETTINGS
[INTERNAL_LOG][2018-06-12 06:19:02,020][INFO][is_hybird()] com.android.launcher.permission.INSTALL_SHORTCUT
[INTERNAL_LOG][2018-06-12 06:19:02,020][INFO][is_hybird()] com.android.launcher.permission.UNINSTALL_SHORTCUT
[INTERNAL_LOG][2018-06-12 06:19:02,020][INFO][is_hybird()] com.android.launcher.permission.READ_SETTINGS
[INTERNAL_LOG][2018-06-12 06:19:02,020][INFO][is_hybird()] com.tencent.mm.location.permission.SEND_VIEW
[INTERNAL_LOG][2018-06-12 06:19:02,020][INFO][is_hybird()] android.permission.BLUETOOTH
[INTERNAL_LOG][2018-06-12 06:19:02,020][INFO][is_hybird()] android.permission.BLUETOOTH_ADMIN
[INTERNAL_LOG][2018-06-12 06:19:02,021][INFO][is_hybird()] android.permission.BROADCAST_STICKY
[INTERNAL_LOG][2018-06-12 06:19:02,021][INFO][is_hybird()] android.permission.SYSTEM_ALERT_WINDOW
[INTERNAL_LOG][2018-06-12 06:19:02,021][INFO][is_hybird()] android.permission.CHANGE_WIFI_STATE
[INTERNAL_LOG][2018-06-12 06:19:02,021][INFO][is_hybird()] android.permission.GET_PACKAGE_SIZE
[INTERNAL_LOG][2018-06-12 06:19:02,021][INFO][is_hybird()] android.permission.DOWNLOAD_WITHOUT_NOTIFICATION
[INTERNAL_LOG][2018-06-12 06:19:02,021][INFO][is_hybird()] android.permission.NFC
[INTERNAL_LOG][2018-06-12 06:19:02,021][INFO][is_hybird()] com.huawei.android.launcher.permission.CHANGE_BADGE
