[INTERNAL_LOG][2018-06-07 21:22:06,884][INFO][analyze_start()] Init Time [Thu Jun  7 21:22:06 2018]
[INTERNAL_LOG][2018-06-07 21:22:07,007][INFO][run()] Start Analysis
[INTERNAL_LOG][2018-06-07 21:22:07,012][INFO][is_hybird()] [Permission Enble Start]
[INTERNAL_LOG][2018-06-07 21:22:07,012][INFO][is_hybird()] android.permission.NFC
[INTERNAL_LOG][2018-06-07 21:22:07,012][INFO][is_hybird()] android.permission.READ_CALENDAR
[INTERNAL_LOG][2018-06-07 21:22:07,012][INFO][is_hybird()] com.microsoft.launcher.permission.C2D_MESSAGE
[INTERNAL_LOG][2018-06-07 21:22:07,012][INFO][is_hybird()] android.permission.INTERNET
[INTERNAL_LOG][2018-06-07 21:22:07,012][INFO][is_hybird()] android.permission.GET_ACCOUNTS
[INTERNAL_LOG][2018-06-07 21:22:07,012][INFO][is_hybird()] com.google.android.c2dm.permission.RECEIVE
[INTERNAL_LOG][2018-06-07 21:22:07,012][INFO][is_hybird()] android.permission.WAKE_LOCK
[INTERNAL_LOG][2018-06-07 21:22:07,012][INFO][is_hybird()] android.permission.PROCESS_OUTGOING_CALLS
[INTERNAL_LOG][2018-06-07 21:22:07,012][INFO][is_hybird()] android.permission.READ_PROFILE
[INTERNAL_LOG][2018-06-07 21:22:07,012][INFO][is_hybird()] android.permission.RECEIVE_SMS
[INTERNAL_LOG][2018-06-07 21:22:07,012][INFO][is_hybird()] android.permission.RECEIVE_MMS
[INTERNAL_LOG][2018-06-07 21:22:07,013][INFO][is_hybird()] android.permission.CALL_PHONE
[INTERNAL_LOG][2018-06-07 21:22:07,013][INFO][is_hybird()] android.permission.SET_WALLPAPER
[INTERNAL_LOG][2018-06-07 21:22:07,013][INFO][is_hybird()] android.permission.SET_WALLPAPER_HINTS
[INTERNAL_LOG][2018-06-07 21:22:07,013][INFO][is_hybird()] android.permission.BIND_APPWIDGET
[INTERNAL_LOG][2018-06-07 21:22:07,013][INFO][is_hybird()] android.permission.GET_ACCOUNTS
[INTERNAL_LOG][2018-06-07 21:22:07,013][INFO][is_hybird()] android.permission.READ_EXTERNAL_STORAGE
[INTERNAL_LOG][2018-06-07 21:22:07,013][INFO][is_hybird()] android.permission.WRITE_EXTERNAL_STORAGE
[INTERNAL_LOG][2018-06-07 21:22:07,013][INFO][is_hybird()] android.permission.DOWNLOAD_WITHOUT_NOTIFICATION
[INTERNAL_LOG][2018-06-07 21:22:07,013][INFO][is_hybird()] android.permission.READ_CONTACTS
[INTERNAL_LOG][2018-06-07 21:22:07,013][INFO][is_hybird()] android.permission.GET_TASKS
[INTERNAL_LOG][2018-06-07 21:22:07,013][INFO][is_hybird()] android.permission.INTERNET
[INTERNAL_LOG][2018-06-07 21:22:07,013][INFO][is_hybird()] android.permission.READ_CALL_LOG
[INTERNAL_LOG][2018-06-07 21:22:07,013][INFO][is_hybird()] android.permission.READ_SMS
[INTERNAL_LOG][2018-06-07 21:22:07,013][INFO][is_hybird()] android.permission.READ_PHONE_STATE
[INTERNAL_LOG][2018-06-07 21:22:07,013][INFO][is_hybird()] android.permission.PACKAGE_USAGE_STATS
[INTERNAL_LOG][2018-06-07 21:22:07,013][INFO][is_hybird()] android.permission.CHANGE_WIFI_STATE
[INTERNAL_LOG][2018-06-07 21:22:07,013][INFO][is_hybird()] android.permission.BLUETOOTH
[INTERNAL_LOG][2018-06-07 21:22:07,013][INFO][is_hybird()] android.permission.BLUETOOTH_ADMIN
[INTERNAL_LOG][2018-06-07 21:22:07,013][INFO][is_hybird()] android.permission.WRITE_SETTINGS
[INTERNAL_LOG][2018-06-07 21:22:07,013][INFO][is_hybird()] android.permission.FLASHLIGHT
[INTERNAL_LOG][2018-06-07 21:22:07,014][INFO][is_hybird()] android.permission.CAMERA
[INTERNAL_LOG][2018-06-07 21:22:07,014][INFO][is_hybird()] android.permission.CHANGE_NETWORK_STATE
[INTERNAL_LOG][2018-06-07 21:22:07,014][INFO][is_hybird()] android.permission.ACCESS_WIFI_STATE
[INTERNAL_LOG][2018-06-07 21:22:07,014][INFO][is_hybird()] android.permission.ACCESS_NETWORK_STATE
[INTERNAL_LOG][2018-06-07 21:22:07,014][INFO][is_hybird()] android.permission.ACCESS_FINE_LOCATION
[INTERNAL_LOG][2018-06-07 21:22:07,014][INFO][is_hybird()] com.android.alarm.permission.SET_ALARM
[INTERNAL_LOG][2018-06-07 21:22:07,014][INFO][is_hybird()] android.permission.SYSTEM_ALERT_WINDOW
